Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C10_non_rRNA_fwd	C10_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36416713.0	0.0	36-151	43.0	56.246224008941695	136.9144183056829	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C11_non_rRNA_fwd	C11_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32147975.0	0.0	36-151	44.0	57.90024330833554	136.90783478586133	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C12_non_rRNA_fwd	C12_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38048549.0	0.0	36-151	45.0	60.66515594052454	136.41940361510237	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
C1_non_rRNA_fwd	C1_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39516384.0	0.0	36-151	42.0	51.950980615606504	135.3066423790193	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C2_non_rRNA_fwd	C2_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43513571.0	0.0	36-151	43.0	53.66199248539287	136.4878007139428	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C3_non_rRNA_fwd	C3_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39583495.0	0.0	36-151	43.0	54.67898038599785	137.25702816287446	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C4_non_rRNA_fwd	C4_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34882680.0	0.0	36-151	45.0	61.304826422289	134.50867548020966	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
C5_non_rRNA_fwd	C5_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40739910.0	0.0	36-151	47.0	62.26443412301194	134.36412110385123	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
C6_non_rRNA_fwd	C6_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35141808.0	0.0	36-151	44.0	58.25213097298278	135.50612723170076	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
C7_non_rRNA_fwd	C7_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35168823.0	0.0	36-151	43.0	58.63949583356916	136.43283217069848	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C8_non_rRNA_fwd	C8_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38306648.0	0.0	36-151	43.0	54.58587840677062	135.63490731426043	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
C9_non_rRNA_fwd	C9_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41567426.0	0.0	36-151	43.0	53.4945576805727	135.50832526892572	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
In10_non_rRNA_fwd	In10_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34649230.0	0.0	36-151	44.0	66.78762628206162	131.16175031883824	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
In11_non_rRNA_fwd	In11_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35069021.0	0.0	36-151	43.0	73.6334290408675	136.16768440727216	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
In12_non_rRNA_fwd	In12_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37506343.0	0.0	36-151	46.0	66.93251288871606	132.81753910265257	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
In1_non_rRNA_fwd	In1_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27911051.0	0.0	36-151	48.0	38.86388793042749	127.76279220012174	pass	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
In2_non_rRNA_fwd	In2_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34312043.0	0.0	36-151	43.0	69.86462178966593	132.67367119468813	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
In3_non_rRNA_fwd	In3_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36148241.0	0.0	36-151	46.0	64.62392773898864	130.8563478925572	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
In4_non_rRNA_fwd	In4_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41235106.0	0.0	36-151	45.0	70.44111530856965	133.10555078965967	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
In5_non_rRNA_fwd	In5_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47217270.0	0.0	36-151	46.0	62.34737423985751	130.93116457177638	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
In6_non_rRNA_fwd	In6_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30404401.0	0.0	36-151	47.0	71.99404273300603	132.15487747974382	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
In7_non_rRNA_fwd	In7_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35296047.0	0.0	36-151	46.0	72.22148954384024	133.75081087692342	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
In8_non_rRNA_fwd	In8_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34135463.0	0.0	36-151	44.0	65.52841170675946	132.1831507602519	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
In9_non_rRNA_fwd	In9_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46671658.0	0.0	36-151	46.0	63.2372540412159	132.02273833940075	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z10_non_rRNA_fwd	Z10_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13329640.0	0.0	36-151	45.0	68.91752681430243	133.28283809615263	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z11_non_rRNA_fwd	Z11_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8533828.0	0.0	36-151	45.0	71.3709875674362	131.80516352098965	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
Z12_non_rRNA_fwd	Z12_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15476638.0	0.0	36-151	47.0	63.11600422306795	132.87022762954072	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z1_non_rRNA_fwd	Z1_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24872715.0	0.0	36-151	47.0	53.19867213758718	133.38392937803533	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z2_non_rRNA_fwd	Z2_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21578665.0	0.0	36-151	49.0	62.8355278844318	132.8683260062659	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z3_non_rRNA_fwd	Z3_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19080795.0	0.0	36-151	51.0	64.45927502285275	133.43877081641514	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z4_non_rRNA_fwd	Z4_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10538820.0	0.0	36-151	47.0	63.654468079824596	129.91496818429388	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
Z5_non_rRNA_fwd	Z5_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20561470.0	0.0	36-151	47.0	66.19123114800564	133.77484557281167	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z6_non_rRNA_fwd	Z6_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11116629.0	0.0	36-151	51.0	67.27837173346667	132.1837777441345	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z7_non_rRNA_fwd	Z7_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29415948.0	0.0	36-151	51.0	53.78916415949126	132.26820434275993	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z8_non_rRNA_fwd	Z8_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10739805.0	0.0	36-151	48.0	58.102650342014094	131.73724494997813	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
Z9_non_rRNA_fwd	Z9_non_rRNA_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2814101.0	0.0	36-151	50.0	53.29702238969806	115.19365864977838	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
