Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C10_non_rRNA_fwd	43.753775991058305	43.0	136.9144183056829	0.0	36416713.0
C11_non_rRNA_fwd	42.09975669166446	44.0	136.90783478586133	0.0	32147975.0
C12_non_rRNA_fwd	39.33484405947546	45.0	136.41940361510237	9.090909090909092	38048549.0
C1_non_rRNA_fwd	48.049019384393496	42.0	135.3066423790193	0.0	39516384.0
C2_non_rRNA_fwd	46.33800751460713	43.0	136.4878007139428	0.0	43513571.0
C3_non_rRNA_fwd	45.32101961400215	43.0	137.25702816287446	0.0	39583495.0
C4_non_rRNA_fwd	38.695173577711	45.0	134.50867548020966	9.090909090909092	34882680.0
C5_non_rRNA_fwd	37.73556587698806	47.0	134.36412110385123	9.090909090909092	40739910.0
C6_non_rRNA_fwd	41.74786902701722	44.0	135.50612723170076	9.090909090909092	35141808.0
C7_non_rRNA_fwd	41.36050416643084	43.0	136.43283217069848	0.0	35168823.0
C8_non_rRNA_fwd	45.41412159322938	43.0	135.63490731426043	0.0	38306648.0
C9_non_rRNA_fwd	46.5054423194273	43.0	135.50832526892572	0.0	41567426.0
In10_non_rRNA_fwd	33.21237371793838	44.0	131.16175031883824	9.090909090909092	34649230.0
In11_non_rRNA_fwd	26.366570959132503	43.0	136.16768440727216	9.090909090909092	35069021.0
In12_non_rRNA_fwd	33.06748711128394	46.0	132.81753910265257	9.090909090909092	37506343.0
In1_non_rRNA_fwd	61.13611206957251	48.0	127.76279220012174	18.181818181818183	27911051.0
In2_non_rRNA_fwd	30.135378210334068	43.0	132.67367119468813	9.090909090909092	34312043.0
In3_non_rRNA_fwd	35.37607226101136	46.0	130.8563478925572	9.090909090909092	36148241.0
In4_non_rRNA_fwd	29.55888469143035	45.0	133.10555078965967	9.090909090909092	41235106.0
In5_non_rRNA_fwd	37.65262576014249	46.0	130.93116457177638	9.090909090909092	47217270.0
In6_non_rRNA_fwd	28.005957266993974	47.0	132.15487747974382	9.090909090909092	30404401.0
In7_non_rRNA_fwd	27.778510456159765	46.0	133.75081087692342	9.090909090909092	35296047.0
In8_non_rRNA_fwd	34.47158829324054	44.0	132.1831507602519	9.090909090909092	34135463.0
In9_non_rRNA_fwd	36.7627459587841	46.0	132.02273833940075	9.090909090909092	46671658.0
Z10_non_rRNA_fwd	31.082473185697566	45.0	133.28283809615263	9.090909090909092	13329640.0
Z11_non_rRNA_fwd	28.629012432563798	45.0	131.80516352098965	9.090909090909092	8533828.0
Z12_non_rRNA_fwd	36.88399577693205	47.0	132.87022762954072	9.090909090909092	15476638.0
Z1_non_rRNA_fwd	46.80132786241282	47.0	133.38392937803533	9.090909090909092	24872715.0
Z2_non_rRNA_fwd	37.1644721155682	49.0	132.8683260062659	9.090909090909092	21578665.0
Z3_non_rRNA_fwd	35.54072497714725	51.0	133.43877081641514	9.090909090909092	19080795.0
Z4_non_rRNA_fwd	36.345531920175404	47.0	129.91496818429388	9.090909090909092	10538820.0
Z5_non_rRNA_fwd	33.80876885199436	47.0	133.77484557281167	9.090909090909092	20561470.0
Z6_non_rRNA_fwd	32.72162826653333	51.0	132.1837777441345	9.090909090909092	11116629.0
Z7_non_rRNA_fwd	46.21083584050874	51.0	132.26820434275993	9.090909090909092	29415948.0
Z8_non_rRNA_fwd	41.897349657985906	48.0	131.73724494997813	9.090909090909092	10739805.0
Z9_non_rRNA_fwd	46.70297761030194	50.0	115.19365864977838	9.090909090909092	2814101.0
