Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C10_1_trimm_paired	C10_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37746513.0	5.1 Gbp	0.0	36-151	43.0	53.579814928979054	136.55201098973035	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C10_2_trimm_paired	C10_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37746513.0	5.2 Gbp	0.0	36-151	44.0	52.894460094258676	138.0350578078563	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
C11_1_trimm_paired	C11_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35092413.0	4.7 Gbp	0.0	36-151	44.0	53.024967659524314	136.41394659865654	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C11_2_trimm_paired	C11_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35092413.0	4.8 Gbp	0.0	36-151	44.0	52.19118832030964	138.04936018506336	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C12_1_trimm_paired	C12_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40243182.0	5.4 Gbp	0.0	36-151	45.0	57.03862826636048	135.7743677922884	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
C12_2_trimm_paired	C12_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40243182.0	5.5 Gbp	0.0	36-151	45.0	56.34906077275509	137.2514690562988	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
C1_1_trimm_paired	C1_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41629987.0	5.6 Gbp	0.0	36-151	42.0	48.17554198356053	134.86021847664762	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
C1_2_trimm_paired	C1_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41629987.0	5.6 Gbp	0.0	36-151	42.0	46.954580765373386	136.7851642134791	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
C2_1_trimm_paired	C2_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45751728.0	6.2 Gbp	0.0	36-151	43.0	50.31553611547862	136.2030757614226	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C2_2_trimm_paired	C2_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45751728.0	6.2 Gbp	0.0	36-151	43.0	49.67498016252879	137.64343952210942	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
C3_1_trimm_paired	C3_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41600726.0	5.6 Gbp	0.0	36-151	43.0	51.44483722096259	136.97183041949796	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C3_2_trimm_paired	C3_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41600726.0	5.7 Gbp	0.0	36-151	44.0	52.080917632960855	137.7451472601704	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C4_1_trimm_paired	C4_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37930259.0	5 Gbp	0.0	36-151	45.0	56.40098578142704	133.88162959815276	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C4_2_trimm_paired	C4_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37930259.0	5.1 Gbp	0.0	36-151	45.0	55.65417774362849	135.5663732746987	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C5_1_trimm_paired	C5_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43103965.0	5.7 Gbp	0.0	36-151	47.0	58.355653763675086	133.99081761967838	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
C5_2_trimm_paired	C5_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43103965.0	5.8 Gbp	0.0	36-151	47.0	57.785768200331376	135.51913101265743	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
C6_1_trimm_paired	C6_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38246445.0	5.1 Gbp	0.0	36-151	45.0	53.16172833345243	135.01839927867806	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C6_2_trimm_paired	C6_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38246445.0	5.2 Gbp	0.0	36-151	45.0	52.470468206394806	136.61537180775886	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C7_1_trimm_paired	C7_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36940109.0	5 Gbp	0.0	36-151	43.0	55.2750322655215	135.93200951302012	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C7_2_trimm_paired	C7_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36940109.0	5 Gbp	0.0	36-151	44.0	54.25362368410956	137.62155785734146	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C8_1_trimm_paired	C8_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40171967.0	5.4 Gbp	0.0	36-151	43.0	51.22369819332408	135.2833066650682	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C8_2_trimm_paired	C8_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40171967.0	5.4 Gbp	0.0	36-151	43.0	50.639108179846325	136.56503939675147	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C9_1_trimm_paired	C9_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43537676.0	5.8 Gbp	0.0	36-151	43.0	50.12221594769268	135.10577505331244	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
C9_2_trimm_paired	C9_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43537676.0	5.9 Gbp	0.0	36-151	43.0	49.098928396255545	136.66488638484057	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
In10_1_trimm_paired	In10_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38162100.0	4.9 Gbp	0.0	36-151	43.0	59.53222935976177	129.5352345913878	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
In10_2_trimm_paired	In10_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38162100.0	4.9 Gbp	0.0	36-151	43.0	58.776161199047486	130.61825345041285	pass	pass	pass	pass	pass	fail	pass	warn	warn	fail	pass
In11_1_trimm_paired	In11_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35376988.0	4.8 Gbp	0.0	36-151	42.0	72.22002735976706	136.10577514400038	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
In11_2_trimm_paired	In11_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35376988.0	4.8 Gbp	0.0	36-151	43.0	71.79246062351523	137.29119904159168	pass	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
In12_1_trimm_paired	In12_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40227136.0	5.2 Gbp	0.0	36-151	45.0	61.39855800486637	131.5682909665754	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
In12_2_trimm_paired	In12_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40227136.0	5.3 Gbp	0.0	36-151	45.0	60.992529877413645	132.7270841006429	pass	pass	pass	pass	pass	fail	pass	warn	warn	fail	pass
