Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C10_1_trimm_paired	46.420185071020946	43.0	136.55201098973035	0.0	37746513.0
C10_2_trimm_paired	47.105539905741324	44.0	138.0350578078563	9.090909090909092	37746513.0
C11_1_trimm_paired	46.975032340475686	44.0	136.41394659865654	0.0	35092413.0
C11_2_trimm_paired	47.80881167969036	44.0	138.04936018506336	0.0	35092413.0
C12_1_trimm_paired	42.96137173363952	45.0	135.7743677922884	9.090909090909092	40243182.0
C12_2_trimm_paired	43.65093922724491	45.0	137.2514690562988	9.090909090909092	40243182.0
C1_1_trimm_paired	51.82445801643947	42.0	134.86021847664762	9.090909090909092	41629987.0
C1_2_trimm_paired	53.045419234626614	42.0	136.7851642134791	9.090909090909092	41629987.0
C2_1_trimm_paired	49.68446388452138	43.0	136.2030757614226	0.0	45751728.0
C2_2_trimm_paired	50.32501983747121	43.0	137.64343952210942	9.090909090909092	45751728.0
C3_1_trimm_paired	48.55516277903741	43.0	136.97183041949796	0.0	41600726.0
C3_2_trimm_paired	47.919082367039145	44.0	137.7451472601704	0.0	41600726.0
C4_1_trimm_paired	43.59901421857296	45.0	133.88162959815276	0.0	37930259.0
C4_2_trimm_paired	44.34582225637151	45.0	135.5663732746987	0.0	37930259.0
C5_1_trimm_paired	41.644346236324914	47.0	133.99081761967838	9.090909090909092	43103965.0
C5_2_trimm_paired	42.214231799668624	47.0	135.51913101265743	9.090909090909092	43103965.0
C6_1_trimm_paired	46.83827166654757	45.0	135.01839927867806	0.0	38246445.0
C6_2_trimm_paired	47.529531793605194	45.0	136.61537180775886	0.0	38246445.0
C7_1_trimm_paired	44.7249677344785	43.0	135.93200951302012	0.0	36940109.0
C7_2_trimm_paired	45.74637631589044	44.0	137.62155785734146	0.0	36940109.0
C8_1_trimm_paired	48.77630180667592	43.0	135.2833066650682	0.0	40171967.0
C8_2_trimm_paired	49.360891820153675	43.0	136.56503939675147	0.0	40171967.0
C9_1_trimm_paired	49.87778405230732	43.0	135.10577505331244	0.0	43537676.0
C9_2_trimm_paired	50.901071603744455	43.0	136.66488638484057	9.090909090909092	43537676.0
In10_1_trimm_paired	40.46777064023823	43.0	129.5352345913878	18.181818181818183	38162100.0
In10_2_trimm_paired	41.223838800952514	43.0	130.61825345041285	18.181818181818183	38162100.0
In11_1_trimm_paired	27.77997264023294	42.0	136.10577514400038	9.090909090909092	35376988.0
In11_2_trimm_paired	28.207539376484775	43.0	137.29119904159168	9.090909090909092	35376988.0
In12_1_trimm_paired	38.60144199513363	45.0	131.5682909665754	18.181818181818183	40227136.0
In12_2_trimm_paired	39.007470122586355	45.0	132.7270841006429	18.181818181818183	40227136.0
In1_1_trimm_paired	82.26604202151876	31.0	118.35521369749692	45.45454545454545	60480072.0
In1_2_trimm_paired	81.253661981244	34.0	112.95085778006349	36.36363636363637	60480072.0
In2_1_trimm_paired	35.526158635650134	42.0	131.356041459475	18.181818181818183	36614646.0
In2_2_trimm_paired	35.890681743501105	42.0	132.12734346796634	18.181818181818183	36614646.0
In3_1_trimm_paired	43.97704578073076	43.0	128.58712745137922	18.181818181818183	40610404.0
In3_2_trimm_paired	44.49881705445684	44.0	129.15816900023944	18.181818181818183	40610404.0
In4_1_trimm_paired	32.59286957990247	45.0	132.58188192523102	18.181818181818183	42437754.0
In4_2_trimm_paired	32.887832655171636	45.0	133.58164310486364	9.090909090909092	42437754.0
In5_1_trimm_paired	44.179944504321355	44.0	129.30147712643418	18.181818181818183	51267717.0
