condition	sample
control_chy	control_chy_Z1
control_chy	control_chy_Z2
control_chy	control_chy_Z3
control_chy	control_chy_Z4
control_chy	control_chy_Z5
control_chy	control_chy_Z6
met_chy	met_chy_Z7
met_chy	met_chy_Z8
met_chy	met_chy_Z10
met_chy	met_chy_Z11
met_chy	met_chy_Z12
control_both	control_both_In2
control_both	control_both_In3
control_both	control_both_In5
met_both	met_both_In7
met_both	met_both_In8
met_both	met_both_In9
met_both	met_both_In11
met_both	met_both_In12
control_cyano	control_cyano_C1
control_cyano	control_cyano_C2
control_cyano	control_cyano_C3
control_cyano	control_cyano_C4
control_cyano	control_cyano_C5
control_cyano	control_cyano_C6
met_cyano	met_cyano_C7
met_cyano	met_cyano_C8
met_cyano	met_cyano_C9
met_cyano	met_cyano_C10
met_cyano	met_cyano_C11
met_cyano	met_cyano_C12
