"bestsumorder_family" "n"
"Rhizophydiales-undef" 7255
"Spizellomycetaceae" 2336
"Malasseziaceae" 1100
"Powellomycetaceae" 961
"Chytriomycetaceae" 760
"Chytridiomycetes-undef" 557
"Xylariales-undef" 506
"Mortierellaceae" 422
"Synchytriaceae" 390
"Debaryomycetaceae" 323
"Mucoraceae" 302
"Neocallimastigaceae" 290
"Glomeraceae" 271
"Rhizopodaceae" 271
"Cryptomycota-undef" 263
"Didymellaceae" 263
"Aspergillaceae" 246
"Basidiobolaceae" 222
"Pleosporaceae" 179
"Gigasporaceae" 170
"Cunninghamellaceae" 157
"Saccotheciaceae" 152
"Hypocreaceae" 143
"Blastocladiaceae" 125
"Kickxellaceae" 109
"Lichtheimiaceae" 99
"Nectriaceae" 98
"Endogonaceae" 95
"Trichocomaceae" 95
"Cladosporiaceae" 91
"Phanerochaetaceae" 90
"Filobasidiaceae" 89
"Piptocephalidaceae" 88
"Acaulosporaceae" 86
"Dimargaritaceae" 79
"Mycosphaerellaceae" 78
"Catenariaceae" 76
"Trichomeriaceae" 75
"Gonapodyaceae" 73
"Ambisporaceae" 70
"Pseudeurotiaceae" 70
"Umbelopsidaceae" 67
"Paraglomeraceae" 60
"Diversisporaceae" 59
"Sporidiobolaceae" 59
"Phaeosphaeriaceae" 55
"Ancylistaceae" 52
"Caulochytriaceae" 51
"Teratosphaeriaceae" 51
"Ophiostomataceae" 50
"Pucciniaceae" 49
"Cordycipitaceae" 46
"Legeriomycetaceae" 46
"Pichiaceae" 41
"Didymosphaeriaceae" 39
"Herpotrichiellaceae" 38
"Endogonales-undef" 37
"Taphrinaceae" 36
"Ustilaginaceae" 36
"Bionectriaceae" 32
"Polyporaceae" 29
"Tilletiaceae" 29
"Olpidiaceae" 28
"Choanephoraceae" 27
"Sigmoideomycetaceae" 27
"Phycomycetaceae" 26
"Syncephalastraceae" 25
"Phaffomycetaceae" 24
"Saccharomycetales-undef" 24
"Leptosphaeriaceae" 23
"Ceratobasidiaceae" 22
"Sordariaceae" 22
"Sarocladiaceae" 21
"Trichosporonaceae" 21
"Glomerellaceae" 20
"Microbotryaceae" 19
"Plectosphaerellaceae" 19
"Marasmiaceae" 18
"Strophariaceae" 18
"Botryosphaeriaceae" 17
"Cryptococcaceae" 17
"Dothideomycetes-undef" 17
"Harpellaceae" 17
"Ajellomycetaceae" 16
"Hymenochaetaceae" 16
"Hymenogastraceae" 16
"Sphaerophragmiaceae" 16
"Bulleribasidiaceae" 15
"Meruliaceae" 15
"Saccharomycetaceae" 15
"Sphaerobolaceae" 15
"Trimorphomycetaceae" 15
"Lyophyllaceae" 14
"Psathyrellaceae" 14
"Schizosaccharomycetaceae" 14
"Serendipitaceae" 14
"Gloeophyllaceae" 13
"Ophiocordycipitaceae" 13
"Trichomonascaceae" 13
"Ascomycota-undef" 12
"Dothidotthiaceae" 12
"Agaricaceae" 11
"Ascosphaeraceae" 11
"Hericiaceae" 11
"Hydnaceae" 10
"Metschnikowiaceae" 10
"Mollisiaceae" 10
"Omphalotaceae" 10
"Physalacriaceae" 10
"Rickenellaceae" 10
"Saccharomycodaceae" 10
"Clavicipitaceae" 9
"Dacrymycetaceae" 9
"Dermateaceae" 9
"Diaporthaceae" 9
"Helotiales-undef" 9
"Jaapiaceae" 9
"Microstromatales-undef" 9
"Morchellaceae" 9
"Onygenaceae" 9
"Periconiaceae" 9
"Protomycetaceae" 9
"Sparassidaceae" 9
"Tulasnellaceae" 9
"Chaetothyriales-undef" 8
"Erysiphaceae" 8
"Fomitopsidaceae" 8
"Microsporidia-undef" 8
"Myxotrichaceae" 8
"Peniophoraceae" 8
"Pleuroascaceae" 8
"Pneumocystaceae" 8
"Stachybotryaceae" 8
"Tuberaceae" 8
"Valsaceae" 8
"Ascobolaceae" 7
"Botryobasidiaceae" 7
"Coniochaetaceae" 7
"Cucurbitariaceae" 7
"Microascaceae" 7
"Microdochiaceae" 7
"Mycenaceae" 7
"Rutstroemiaceae" 7
"Zopfiaceae" 7
"Arthrodermataceae" 6
"Ascodesmidaceae" 6
"Capnodiaceae" 6
"Ceratocystidaceae" 6
"Chaetomiaceae" 6
"Dipodascaceae" 6
"Grifolaceae" 6
"Lasiosphaeriaceae" 6
"Leucosporidiaceae" 6
"Orbiliaceae" 6
"Pezizaceae" 6
"Pyronemataceae" 6
"Steccherinaceae" 6
"Thelephoraceae" 6
"Wallemiaceae" 6
"Bondarzewiaceae" 5
"Coleosporiaceae" 5
"Hyaloscyphaceae" 5
"Melampsoraceae" 5
"Schizophyllaceae" 5
"Stephanosporaceae" 5
"Tremellaceae" 5
"Acrospermaceae" 4
"Amanitaceae" 4
"Anthracoideaceae" 4
"Aulographaceae" 4
"Brachybasidiaceae" 4
"Enterocytozoonidae" 4
"Leotiomycetes-undef" 4
"Massarinaceae" 4
"Microthyriaceae" 4
"Neolectaceae" 4
"Pleosporales-undef" 4
"Postiaceae" 4
"Schizoporaceae" 4
"Sporocadaceae" 4
"Togniniaceae" 4
"Trematosphaeriaceae" 4
"Tubulinosematidae" 4
"Crepidotaceae" 3
"Cryptobasidiaceae" 3
"Eremomycetaceae" 3
"Galeropsidaceae" 3
"Gelatoporiaceae" 3
"Lachnaceae" 3
"Lentitheciaceae" 3
"Lindgomycetaceae" 3
"Lophiostomataceae" 3
"Melanommataceae" 3
"Pisolithaceae" 3
"Pleurotaceae" 3
"Podosporaceae" 3
"Russulaceae" 3
"Sclerotiniaceae" 3
"Auriculariales-undef" 2
"Corynesporascaceae" 2
"Delitschiaceae" 2
"Entylomatales-undef" 2
"Exidiaceae" 2
"Fungi-undef" 2
"Geoglossaceae" 2
"Hyphodiscaceae" 2
"Mixiaceae" 2
