"bestsumorder_family" "n"
"Rhizophydiales-undef" 9857
"Spizellomycetaceae" 3182
"Powellomycetaceae" 1276
"Chytriomycetaceae" 1203
"Chytridiomycetes-undef" 948
"Synchytriaceae" 542
"Mortierellaceae" 484
"Neocallimastigaceae" 364
"Malasseziaceae" 339
"Glomeraceae" 292
"Basidiobolaceae" 286
"Cryptomycota-undef" 276
"Rhizopodaceae" 243
"Mucoraceae" 225
"Gigasporaceae" 149
"Lichtheimiaceae" 127
"Cunninghamellaceae" 125
"Xylariales-undef" 106
"Catenariaceae" 103
"Caulochytriaceae" 95
"Blastocladiaceae" 94
"Gonapodyaceae" 93
"Umbelopsidaceae" 87
"Paraglomeraceae" 83
"Pseudeurotiaceae" 69
"Kickxellaceae" 67
"Ambisporaceae" 66
"Aspergillaceae" 65
"Dimargaritaceae" 65
"Endogonaceae" 61
"Piptocephalidaceae" 54
"Ancylistaceae" 53
"Diversisporaceae" 53
"Filobasidiaceae" 45
"Acaulosporaceae" 44
"Olpidiaceae" 42
"Sigmoideomycetaceae" 40
"Taphrinaceae" 40
"Endogonales-undef" 35
"Sporidiobolaceae" 34
"Choanephoraceae" 33
"Pucciniaceae" 31
"Marasmiaceae" 29
"Nectriaceae" 25
"Legeriomycetaceae" 24
"Phaeosphaeriaceae" 24
"Debaryomycetaceae" 23
"Didymellaceae" 23
"Phycomycetaceae" 23
"Hymenochaetaceae" 20
"Pichiaceae" 20
"Strophariaceae" 20
"Cordycipitaceae" 19
"Protomycetaceae" 19
"Teratosphaeriaceae" 19
"Ceratobasidiaceae" 18
"Mycosphaerellaceae" 17
"Saccharomycetaceae" 17
"Sordariaceae" 17
"Lyophyllaceae" 16
"Pleosporaceae" 16
"Tilletiaceae" 16
"Saccotheciaceae" 15
"Syncephalastraceae" 15
"Trichomeriaceae" 15
"Trichosporonaceae" 15
"Dipodascaceae" 14
"Hymenogastraceae" 14
"Ascomycota-undef" 13
"Cladosporiaceae" 13
"Neolectaceae" 13
"Omphalotaceae" 13
"Phaffomycetaceae" 13
"Microbotryaceae" 12
"Plectosphaerellaceae" 12
"Psathyrellaceae" 12
"Schizosaccharomycetaceae" 12
"Steccherinaceae" 12
"Cryptococcaceae" 11
"Zopfiaceae" 11
"Amanitaceae" 10
"Harpellaceae" 10
"Ophiocordycipitaceae" 10
"Orbiliaceae" 10
"Thelephoraceae" 10
"Herpotrichiellaceae" 9
"Mycenaceae" 9
"Cucurbitariaceae" 8
"Gloeophyllaceae" 8
"Glomerellaceae" 8
"Hericiaceae" 8
"Melampsoraceae" 8
"Physalacriaceae" 8
