"geneName","padj","log2FoldChange","comparison","geneFull"
"77286364",0.049,-3.4,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","30S ribosomal protein S12 methylthiotransferase RimO"
"77286711",0.0077,4.9,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","preprotein translocase subunit SecY"
"77286717",0.049,3.3,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","DNA-directed RNA polymerase subunit alpha"
"77286801",0.049,3.4,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","recombinase family protein"
"77287091",0.049,3.7,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","RuBisCO accumulation factor 1"
"77287231",0.045,3.6,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","F0F1 ATP synthase subunit gamma"
"77287375",0.005,5.5,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","gas vesicle protein GvpC"
"77287779",0.0098,-4.4,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","glycosyltransferase family 2 protein"
"77287962",0.045,3.7,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","adenylosuccinate lyase"
"77288018",0.049,3.5,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","GNAT family N-acetyltransferase"
"77288928",0.049,3.4,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","chaperonin GroEL"
"77289032",0.049,3.3,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","pseudouridine synthase"
"77289563",0.0098,-4.1,"MET effect on cyanobacteria gene expression, in infected cyanobacteria","NADH-quinone oxidoreductase subunit J"
"AATM_MOUSE",2.6e-05,3.3,"MET effect on chytrid gene expression, in free-living chytrid zoospores","Aspartate aminotransferase, mitochondrial"
"ABCB6_HUMAN",0.0075,-2.6,"Infection effect on chytrid gene expression, in the absence of MET","ATP-binding cassette sub-family B member 6 {ECO:0000305}"
"ABCG2_MACMU",0.0022,2.9,"MET effect on chytrid gene expression, in free-living chytrid zoospores","Broad substrate specificity ATP-binding cassette transporter ABCG2 {ECO:0000305}"
"ACA1_SCHPO",0.031,2.1,"Infection effect on chytrid gene expression, in the absence of MET","N-acetyltransferase aca1"
"AMYA_DROMA",0.012,2.5,"Infection effect on chytrid gene expression, in the absence of MET","Alpha-amylase A"
"ATC2_CRYNH",0.03,-2.8,"MET effect on chytrid gene expression, in infecting chytrid","Calcium-transporting ATPase 2 {ECO:0000303|PubMed:23895559}"
"CBPC1_HUMAN",0.029,-2.1,"Infection effect on chytrid gene expression, in the absence of MET","Cytosolic carboxypeptidase 1 {ECO:0000303|PubMed:22170066}"
"CBPC1_HUMAN",0.034,-2.1,"MET effect on chytrid gene expression, in free-living chytrid zoospores","Cytosolic carboxypeptidase 1 {ECO:0000303|PubMed:22170066}"
"FHIT_DICDI",0.025,2.5,"MET effect on chytrid gene expression, in infecting chytrid","Bis(5'-adenosyl)-triphosphatase"
"GDIR_YEAST",0.0075,3.3,"Infection effect on chytrid gene expression, in the absence of MET","Rho GDP-dissociation inhibitor"
"RFC4_ARATH",0.029,2.4,"Infection effect on chytrid gene expression, in the absence of MET","Replication factor C subunit 4"
"SIK3_HUMAN",0.0047,3.4,"MET effect on chytrid gene expression, in infecting chytrid","Serine/threonine-protein kinase SIK3 {ECO:0000305}"
"TRNL_SCHPO",0.029,1.5,"Infection effect on chytrid gene expression, in the absence of MET","tRNA ligase 1"
"YBA9_SCHPO",0.038,2.7,"MET effect on chytrid gene expression, in infecting chytrid","Uncharacterized protein C119.09c"
