"geneName","padj","log2FoldChange","comparison"
"77286457",0.037,-0.32,"MET effect on cyanobacteria gene expression, in uninfected cyanobacteria"
"AB6C_ARATH",0.049,1.6,"MET effect on chytrid gene expression, in free-living chytrid zoospores"
"ABCB6_HUMAN",0.02,-1.4,"Infection effect on chytrid gene expression, in the absence of MET"
"ACA1_SCHPO",0.0095,1.6,"Infection effect on chytrid gene expression, in the absence of MET"
"ACA1_SCHPO",0.0075,-2.7,"MET effect on chytrid gene expression, in infecting chytrid"
"AL1A3_HUMAN",0.014,2.3,"MET effect on chytrid gene expression, in infecting chytrid"
"AMYA_DROMA",0.046,1.2,"Infection effect on chytrid gene expression, in the absence of MET"
"ARF_CRYNB",0.014,-2.9,"MET effect on chytrid gene expression, in infecting chytrid"
"ATC2_CRYNH",0.014,-2.7,"MET effect on chytrid gene expression, in infecting chytrid"
"BIP_ASPAW",0.049,1.6,"MET effect on chytrid gene expression, in free-living chytrid zoospores"
"CAMKI_MACNP",0.046,-1.2,"Infection effect on chytrid gene expression, in the absence of MET"
"CBPC1_HUMAN",0.02,-1.4,"Infection effect on chytrid gene expression, in the absence of MET"
"CBPC1_HUMAN",0.049,-1.8,"MET effect on chytrid gene expression, in free-living chytrid zoospores"
"DBP4_CRYNJ",0.049,1.4,"MET effect on chytrid gene expression, in free-living chytrid zoospores"
"FEN1_NEMVE",0.021,-2.2,"Infection effect on chytrid gene expression, in the presence of MET"
"MOGT1_HUMAN",0.014,-2.2,"MET effect on chytrid gene expression, in infecting chytrid"
"NPAL2_HUMAN",0.049,-1.4,"MET effect on chytrid gene expression, in free-living chytrid zoospores"
"NU4M_USTMA",0.029,2,"Infection effect on chytrid gene expression, in the presence of MET"
"PAQR1_HUMAN",0.049,1.3,"MET effect on chytrid gene expression, in free-living chytrid zoospores"
"PHOP1_MOUSE",0.014,2.4,"MET effect on chytrid gene expression, in infecting chytrid"
"PPCE_MOUSE",0.047,1.4,"MET effect on chytrid gene expression, in infecting chytrid"
"SIK3_HUMAN",6.7e-05,3.9,"MET effect on chytrid gene expression, in infecting chytrid"
"SYKC_SCHPO",0.0035,2.9,"Infection effect on chytrid gene expression, in the presence of MET"
"SYKC_SCHPO",0.026,2.2,"MET effect on chytrid gene expression, in infecting chytrid"
"TRNL_SCHPO",0.02,1.2,"Infection effect on chytrid gene expression, in the absence of MET"
