"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"CHS2_RHIOL","77286457",1,7,7,7,FALSE,"NMG88_RS01600","iron uptake porin","iron uptake porin"
"MOGT1_HUMAN","77287329",-1,7,7,7,FALSE,"NMG88_RS05960","GDP-L-fucose synthase family protein","GDP-L-fucose synthase"
"CBPC1_HUMAN","77287505",-1,7,7,7,FALSE,"NMG88_RS06840","tRNA epoxyqueuosine(34) reductase QueG","tRNA epoxyqueuosine(34) reductase QueG"
"AB6C_ARATH","77287590",-1,7,6,6,FALSE,"NMG88_RS07265","radical SAM protein","radical SAM protein"
"TRNL_SCHPO","77288560",1,7,7,7,FALSE,"NMG88_RS12115","anthranilate synthase component I","anthranilate synthase component I"
"PHOP1_MOUSE","77288600",1,7,6,6,FALSE,"NMG88_RS12315","cytochrome f","cytochrome f"
"NPAL2_HUMAN","77288617",1,7,6,6,FALSE,"NMG88_RS12400","hypothetical protein","hypothetical protein"
"NPAL2_HUMAN","77288783",1,7,6,6,FALSE,"NMG88_RS13230","hypothetical protein","hypothetical protein"
"NPAL2_HUMAN","77289457",1,7,6,6,FALSE,"NMG88_RS16600","M16 family metallopeptidase","pitrilysin family protein"
"AB6C_ARATH","77289907",-1,7,6,6,FALSE,"NMG88_RS18850","PmeII family type II restriction endonuclease","PmeII family type II restriction endonuclease"
"PHOP1_MOUSE","77286289",0.991031208965115,7,5,5,FALSE,"NMG88_RS00760","HD family phosphohydrolase","HDIG domain-containing metalloprotein"
"PAQR1_HUMAN","77286577",0.991031208965115,7,5,5,FALSE,"NMG88_RS02200","ABC transporter permease","ABC transporter permease"
"NPAL2_HUMAN","77286617",0.991031208965115,7,5,5,FALSE,"NMG88_RS02400","RNA methyltransferase","RNA methyltransferase"
"CAMKI_MACNP","77286813",0.991031208965115,7,5,5,FALSE,"NMG88_RS03380","histidine phosphatase family protein","histidine phosphatase family protein"
"ARF_CRYNB","77286830",0.991031208965115,7,7,7,FALSE,"NMG88_RS03465","class I SAM-dependent DNA methyltransferase","DNA methyltransferase"
"NPAL2_HUMAN","77286869",0.991031208965115,7,5,5,FALSE,"NMG88_RS03660","M48 family metallopeptidase","M48 family metallopeptidase"
"PHOP1_MOUSE","77287193",0.991031208965115,7,5,5,FALSE,"NMG88_RS05280","SPFH domain-containing protein","SPFH domain-containing protein"
