"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"P4K2B_HUMAN","77286183",1,7,4,4,FALSE,"NMG88_RS00230","50S ribosomal protein L10","50S ribosomal protein L10"
"MTNB_OSMMO","77286970",1,7,5,5,FALSE,"NMG88_RS04165","tryptophan--tRNA ligase","tryptophan--tRNA ligase"
"PDX2_ARATH","77287073",1,7,4,4,FALSE,"NMG88_RS04680","hypothetical protein","hypothetical protein"
"PDX2_ARATH","77287954",1,7,4,4,FALSE,"NMG88_RS09085","thiol-disulfide oxidoreductase DCC family protein","DUF393 domain-containing protein"
"PDX2_ARATH","77288610",1,7,4,4,FALSE,"NMG88_RS12365","thioredoxin family protein","thioredoxin family protein"
"PDX2_ARATH","77289023",1,7,4,4,FALSE,"NMG88_RS14430","hypothetical protein","hypothetical protein"
"LDL3_ORYSI","77289261",1,7,4,4,FALSE,"NMG88_RS15620","transaldolase family protein","transaldolase family protein"
"PDX2_ARATH","77289553",1,7,4,4,FALSE,"NMG88_RS17080","precorrin-8X methylmutase","precorrin-8X methylmutase"
"RN185_HUMAN","77290105",1,7,5,5,FALSE,"NMG88_RS19840","ribosome recycling factor","ribosome recycling factor"
"SMCA1_MOUSE","77286147",1,7,6,6,FALSE,"NMG88_RS00050","malate dehydrogenase","malate dehydrogenase"
"AOX_EMENI","77286166",1,7,7,7,FALSE,"NMG88_RS00145","NADP-dependent isocitrate dehydrogenase","NADP-dependent isocitrate dehydrogenase"
"ATC3_VERDV","77286174",1,7,7,7,FALSE,"NMG88_RS00185","glycosyl hydrolase family 57","glycosyl hydrolase family 57"
"PNS1_GIBZE","77286237",1,7,6,6,FALSE,"NMG88_RS00500","efflux RND transporter periplasmic adaptor subunit","efflux RND transporter periplasmic adaptor subunit"
"YD1K_SCHPO","77286237",-1,7,6,6,FALSE,"NMG88_RS00500","efflux RND transporter periplasmic adaptor subunit","efflux RND transporter periplasmic adaptor subunit"
"SAC31_SCHPO","77286257",-1,7,6,6,FALSE,"NMG88_RS00600","Uma2 family endonuclease","Uma2 family endonuclease"
"FAT2_SCHPO","77286259",1,7,6,6,FALSE,"NMG88_RS00610","peroxiredoxin","peroxiredoxin"
"COQ8_YEAST","77286262",-1,7,6,6,FALSE,"NMG88_RS00625","peptide chain release factor 3","peptide chain release factor 3"
"SF3B1_SCHPO","77286264",1,7,7,7,FALSE,"NMG88_RS00635","malic enzyme-like NAD(P)-binding protein","malic enzyme-like NAD(P)-binding protein"
"SRCA_ASPFU","77286267",-1,7,7,7,FALSE,"NMG88_RS00650","PAS domain S-box protein","PAS domain S-box protein"
"APM1D_ORYSJ","77286300",-1,7,7,7,FALSE,"NMG88_RS00815","two-component system response regulator","GGDEF domain-containing response regulator"
"PRDX6_CHICK","77286302",-1,7,6,6,FALSE,"NMG88_RS00825","peptide-methionine (S)-S-oxide reductase MsrA","peptide-methionine (S)-S-oxide reductase MsrA"
"GPD1L_MOUSE","77286304",-1,7,6,6,FALSE,"NMG88_RS00835","caspase family protein","caspase family protein"
"FOLH1_RAT","77286312",1,7,6,6,FALSE,"NMG88_RS00875","putative Ig domain-containing protein","putative Ig domain-containing protein"
