"geneName","padj","log2FoldChange","comparison","geneFull","potential_explanation"
"77286457",0.037,-0.32,"MET effect on cyanobacteria gene expression, in uninfected cyanobacteria","iron uptake porin","Iron uptake porin upregulated under MET - iron acquisition may be disrupted by MET-induced oxidative stress (MET inhibits fatty acid synthesis, indirectly affecting membrane integrity and iron transport)"
"AB6C_ARATH",0.049,1.6,"MET effect on chytrid gene expression, in free-living chytrid zoospores","ABC transporter C family member 6","ABC-C transporter (MRP family) - fungal ABC transporters transport xenobiotics including herbicides and fungicides across membranes; upregulation likely reflects active efflux of MET as a detoxification response"
"ABCB6_HUMAN",0.02,-1.4,"Infection effect on chytrid gene expression, in the absence of MET","ATP-binding cassette sub-family B member 6 {ECO:0000305}","Mitochondrial porphyrin/heme transporter - ABCB6 regulates heme biosynthesis and reduces reactive oxygen species; downregulation during infection may reflect redirection of mitochondrial resources toward parasite growth"
"ACA1_SCHPO",0.0095,1.6,"Infection effect on chytrid gene expression, in the absence of MET","N-acetyltransferase aca1","N-acetyltransferase - involved in histone acetylation and gene regulation; differential expression under MET suggests epigenetic reprogramming in response to herbicide stress"
"ACA1_SCHPO",0.0075,-2.7,"MET effect on chytrid gene expression, in infecting chytrid","N-acetyltransferase aca1","N-acetyltransferase - involved in histone acetylation and gene regulation; differential expression under MET suggests epigenetic reprogramming in response to herbicide stress"
"AL1A3_HUMAN",0.014,2.3,"MET effect on chytrid gene expression, in infecting chytrid","Retinaldehyde dehydrogenase 3","Retinaldehyde dehydrogenase 3 (ALDH) - oxidises aldehydes generated by oxidative stress; upregulation under MET consistent with oxidative stress response; SIK3-deficient mice also show low ALDH1a expression, linking this gene to the same energy-stress pathway as SIK3"
"AMYA_DROMA",0.046,1.2,"Infection effect on chytrid gene expression, in the absence of MET","Alpha-amylase A","Alpha-amylase - starch/glycogen hydrolysis enzyme; upregulation during infection may reflect increased carbohydrate mobilisation to fuel parasite growth and zoospore production"
"ARF_CRYNB",0.014,-2.9,"MET effect on chytrid gene expression, in infecting chytrid","ADP-ribosylation factor","ADP-ribosylation factor - key regulator of vesicle trafficking and cytoskeletal dynamics; downregulation during MET-treated infection suggests impaired vesicle-mediated secretion, consistent with MET disrupting membrane lipid composition required for vesicle formation"
"ATC2_CRYNH",0.014,-2.7,"MET effect on chytrid gene expression, in infecting chytrid","Calcium-transporting ATPase 2 {ECO:0000303|PubMed:23895559}","Calcium-transporting ATPase - maintains intracellular Ca²⁺ homeostasis; downregulation during infection may reflect suppression of calcium signalling required for zoospore motility and host recognition"
"BIP_ASPAW",0.049,1.6,"MET effect on chytrid gene expression, in free-living chytrid zoospores","Endoplasmic reticulum chaperone BiP {ECO:0000305}","ER chaperone BiP (Hsp70 family) - canonical unfolded protein response (UPR) marker; upregulation under MET indicates protein folding stress, consistent with MET disrupting lipid synthesis and membrane protein biogenesis in the ER"
"CAMKI_MACNP",0.046,-1.2,"Infection effect on chytrid gene expression, in the absence of MET","Calcium/calmodulin-dependent protein kinase type 1 {ECO:0000305}","Calcium/calmodulin-dependent protein kinase I - mediates calcium-dependent signalling; upregulation during infection suggests activation of Ca²⁺ signalling cascades during host-parasite interaction, possibly linked to zoospore encystment and rhizoid development"
"CBPC1_HUMAN",0.02,-1.4,"Infection effect on chytrid gene expression, in the absence of MET","Cytosolic carboxypeptidase 1 {ECO:0000303|PubMed:22170066}","Cytosolic carboxypeptidase 1 - deglutamylase involved in microtubule modification; downregulation is consistent with reduced tubulin post-translational modification, potentially impairing flagellar/ciliary function critical for zoospore motility"
"CBPC1_HUMAN",0.049,-1.8,"MET effect on chytrid gene expression, in free-living chytrid zoospores","Cytosolic carboxypeptidase 1 {ECO:0000303|PubMed:22170066}","Cytosolic carboxypeptidase 1 - deglutamylase involved in microtubule modification; downregulation is consistent with reduced tubulin post-translational modification, potentially impairing flagellar/ciliary function critical for zoospore motility"
"DBP4_CRYNJ",0.049,1.4,"MET effect on chytrid gene expression, in free-living chytrid zoospores","ATP-dependent RNA helicase DBP4","ATP-dependent RNA helicase DBP4 - involved in rRNA processing and ribosome biogenesis; upregulation under MET may reflect compensatory increase in translational machinery under stress conditions"
"FEN1_NEMVE",0.021,-2.2,"Infection effect on chytrid gene expression, in the presence of MET","Flap endonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03140}","Flap endonuclease 1 - DNA repair enzyme involved in Okazaki fragment processing and base excision repair; downregulation during MET-treated infection suggests reduced DNA replication/repair capacity, possibly reflecting cell cycle arrest"
"MOGT1_HUMAN",0.014,-2.2,"MET effect on chytrid gene expression, in infecting chytrid","2-acylglycerol O-acyltransferase 1 {ECO:0000305}","2-acylglycerol O-acyltransferase 1 - catalyses monoacylglycerol re-acylation in lipid metabolism; downregulation during MET infection aligns with MET's primary mode of action as a VLCFAS inhibitor, further suppressing lipid metabolic capacity"
"NPAL2_HUMAN",0.049,-1.4,"MET effect on chytrid gene expression, in free-living chytrid zoospores","NIPA-like protein 2","NIPA-like protein 2 - magnesium transporter; upregulation under MET may reflect compensatory ion transport in response to membrane disruption caused by VLCFAS inhibition"
"NU4M_USTMA",0.029,2,"Infection effect on chytrid gene expression, in the presence of MET","NADH-ubiquinone oxidoreductase chain 4","NADH-ubiquinone oxidoreductase chain 4 (Complex I) - core mitochondrial respiratory chain subunit; upregulation during infection suggests increased oxidative phosphorylation to meet energy demands of parasite growth and host penetration"
"PAQR1_HUMAN",0.049,1.3,"MET effect on chytrid gene expression, in free-living chytrid zoospores","Adiponectin receptor protein 1 {ECO:0000303|PubMed:12802337}","Adiponectin receptor 1 - membrane receptor linked to fatty acid oxidation and AMPK activation; upregulation under MET may represent a compensatory response to MET-induced disruption of fatty acid synthesis, activating alternative lipid catabolism pathways"
"PHOP1_MOUSE",0.014,2.4,"MET effect on chytrid gene expression, in infecting chytrid","Phosphoethanolamine/phosphocholine phosphatase","Phosphoethanolamine/phosphocholine phosphatase - involved in phospholipid head group metabolism; upregulation during infection suggests active remodelling of membrane phospholipid composition during host-parasite interaction"
"PPCE_MOUSE",0.047,1.4,"MET effect on chytrid gene expression, in infecting chytrid","Prolyl endopeptidase","Prolyl endopeptidase - serine protease cleaving proline-containing peptides; upregulation under MET in infecting chytrid may reflect increased proteolytic activity during host cell degradation"
